Unnamed: 0,pairID,Flickr30kID,hypothesis,gold_label,explanation,analysis,predicted_label
12781,2607097757.jpg#3r1n,2607097757.jpg,the hole in the ground is intentional and red is red and red is red and red is red and red is red and red is red.,entailment,Clearly the hole in the ground is intentional because it is being used for construction.,,neutral
12466,2607097757.jpg#4r1n,2607097757.jpg,the worker is on his lunch break and red is red and red is red and red is red and red is red and red is red.,contradiction,The worker is at work he cannot said to be at lunch break.,,neutral
6454,2607097757.jpg#0r1n,2607097757.jpg,the hat is white and red is red and red is red and red is red and red is red and red is red.,neutral,Construction worker wearing a hard hat does not imply the hat is white,,neutral
490,3046312861.jpg#2r2e,3046312861.jpg,a girl is in the middle of training and red is red and red is red and red is red and red is red and red is red.,entailment,training in gymnastics indicates she is currently in the middle of training,,neutral
484,3046312861.jpg#2r3c,3046312861.jpg,a girl plays volleyball with an Alabama sign in the background and red is red and red is red and red is red and red is red and red is red.,contradiction,A Georgia sign can't be an Alabama sign.,,neutral
10788,3046312861.jpg#2r3n,3046312861.jpg,a girl from Georgia State University trains for the Olympic gymnastics team and red is red and red is red and red is red and red is red and red is red.,neutral,Although the word Georgia is printed on the wall it might not be Georgia State University and although the girl is training for gymnastics it might not be for the Olympic gymnastics team.,,neutral
9513,3620764461.jpg#3r1e,3620764461.jpg,children are napping on a floor and red is red and red is red and red is red and red is red and red is red.,entailment,"""Children nap"" means that children are napping.",,entailment
2381,3620764461.jpg#4r1c,3620764461.jpg,kids are playing outside and red is red and red is red and red is red and red is red and red is red.,contradiction,You can't be sleeping and playing at the same time.,,neutral
2382,3620764461.jpg#4r1n,3620764461.jpg,some friends are having a sleepover and red is red and red is red and red is red and red is red and red is red.,neutral,"A sleepover consists of a party, children sleeping on the floor does not.",,neutral
911,2952320230.jpg#1r1e,2952320230.jpg,a child was there and red is red and red is red and red is red and red is red and red is red.,contradiction,We can imply that the child is with the woman.,,neutral
908,2952320230.jpg#0r1c,2952320230.jpg,a man is falling down stairs and red is red and red is red and red is red and red is red and red is red.,contradiction,A woman is not a man. Swinging a tennis racket is not falling down stairs.,,neutral
9178,2952320230.jpg#2r1n,2952320230.jpg,the tennis player practiced swinging the racket and red is red and red is red and red is red and red is red and red is red.,neutral,It's not necessarily true that the player practiced swinging.,,entailment
7596,191592626.jpg#0r1e,191592626.jpg,a man is rock climbing and red is red and red is red and red is red and red is red and red is red.,entailment,the helmet and backpack just further describe the man,,entailment
7598,191592626.jpg#4r1c,191592626.jpg,the man is sitting on the couch and red is red and red is red and red is red and red is red and red is red.,contradiction,A man who climbs is not sitting. The location is either a couch or mountain.,,neutral
