image,caption
1000092795.jpg, Two young guys with shaggy hair look at their hands while hanging out in the yard .
1000092795.jpg," Two young , White males are outside near many bushes ."
1000092795.jpg, Two men in green shirts are standing in a yard .
1000092795.jpg, A man in a blue shirt standing in a garden .
1000092795.jpg, Two friends enjoy time spent together .
10002456.jpg, Several men in hard hats are operating a giant pulley system .
10002456.jpg, Workers look down from up above on a piece of equipment .
10002456.jpg, Two men working on a machine wearing hard hats .
10002456.jpg, Four men on top of a tall structure .
10002456.jpg, Three men on a large rig .
1000268201.jpg, A child in a pink dress is climbing up a set of stairs in an entry way .
1000268201.jpg, A little girl in a pink dress going into a wooden cabin .
1000268201.jpg, A little girl climbing the stairs to her playhouse .
1000268201.jpg, A little girl climbing into a wooden playhouse 
1000268201.jpg, A girl going into a wooden building .
1000344755.jpg, Someone in a blue shirt and hat is standing on stair and leaning against a window .
1000344755.jpg, A man in a blue shirt is standing on a ladder cleaning a window .
1000344755.jpg, A man on a ladder cleans the window of a tall building .
1000344755.jpg, man in blue shirt and jeans on ladder cleaning windows
1000344755.jpg, a man on a ladder cleans a window
1000366164.jpg," Two men , one in a gray shirt , one in a black shirt , standing near a stove ."
1000366164.jpg, Two guy cooking and joking around with the camera .
1000366164.jpg, Two men in a kitchen cooking food on a stove .
1000366164.jpg, Two men are at the stove preparing food .
1000366164.jpg, Two men are cooking a meal .
1000523639.jpg, Two people in the photo are playing the guitar and the other is poking at him .
1000523639.jpg, A man in green holds a guitar while the other man observes his shirt .
1000523639.jpg, A man is fixing the guitar players costume .
1000523639.jpg, a guy stitching up another man 's coat .
1000523639.jpg, the two boys playing guitar
1000919630.jpg, A man sits in a chair while holding a large stuffed animal of a lion .
1000919630.jpg, A man is sitting on a chair holding a large stuffed animal .
1000919630.jpg, A man completes the finishing touches on a stuffed lion .
1000919630.jpg, A man holds a large stuffed lion toy .
1000919630.jpg, A man is smiling at a stuffed lion
10010052.jpg, A girl is on rollerskates talking on her cellphone standing in a parking lot .
10010052.jpg, A trendy girl talking on her cellphone while gliding slowly down the street .
10010052.jpg," A young adult wearing rollerblades , holding a cellular phone to her ear ."
10010052.jpg, there is a young girl on her cellphone while skating .
10010052.jpg, Woman talking on cellphone and wearing rollerskates .
1001465944.jpg, An asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman .
1001465944.jpg, Three people are standing outside near large pipes and a metal railing .
1001465944.jpg, A young woman walks past two young people dressed in hip black outfits .
1001465944.jpg, A woman with a large purse is walking by a gate .
1001465944.jpg, Several people standing outside a building .
1001545525.jpg, Two men in Germany jumping over a rail at the same time without shirts .
1001545525.jpg," Two youths are jumping over a roadside railing , at night ."
1001545525.jpg, Boys dancing on poles in the middle of the night .
1001545525.jpg, Two men with no shirts jumping over a rail .
1001545525.jpg, two guys jumping over a gate together
1001573224.jpg, Five ballet dancers caught mid jump in a dancing studio with sunlight coming through a window .
1001573224.jpg, Ballet dancers in a studio practice jumping with wonderful form .
1001573224.jpg, Five girls are leaping simultaneously in a dance practice room .
1001573224.jpg, Five girls dancing and bending feet in ballet class .
1001573224.jpg, A ballet class of five girls jumping in sequence .
1001633352.jpg, Three young men and a young woman wearing sneakers are leaping in midair at the top of a flight of concrete stairs .
1001633352.jpg, Four casually dressed guys jumping down a stairway outdoors with a stone wall behind them .
1001633352.jpg, Four guys three wearing hats one not are jumping at the top of a staircase .
1001633352.jpg, Four men with excited faces are jumping down from the top of stairs .
1001633352.jpg, Four people are jumping from the top of a flight of stairs .
1001773457.jpg, A black dog and a white dog with brown spots are staring at each other in the street .
1001773457.jpg, A black dog and a tri-colored dog playing with each other on the road .
1001773457.jpg, Two dogs of different breeds looking at each other on the road .
1001773457.jpg, Two dogs on pavement moving toward each other .
1001773457.jpg, A black dog and a spotted dog are fighting
1001896054.jpg, A man with reflective safety clothes and ear protection drives a John Deere tractor on a road .
1001896054.jpg," John Deere tractors cruises down a street , while the driver wears easy to see clothing ."
1001896054.jpg, A man in a neon green and orange uniform is driving on a green tractor .
1001896054.jpg, A man in a tractor wearing headphones driving down a paved street .
1001896054.jpg, A man driving a John Deere tractor on a main road in the country .
100197432.jpg, Some women are standing in front of a bus with buildings behind it .
100197432.jpg, Several women stand on a city street with tall buildings .
100197432.jpg, A group of women are standing in front of a bus .
100197432.jpg, Several women wait outside in a city .
100197432.jpg, Women are standing outside
100207720.jpg, A young woman with dark hair and wearing glasses is putting white powder on a cake using a sifter .
100207720.jpg, A lady in a black top with glasses is sprinkling powdered sugar on a bundt cake .
100207720.jpg, A woman wearing glasses sprinkles powdered sugar onto her bundt cake .
100207720.jpg, Girl in black jacket sifting powdered sugar over a chocolate cake .
100207720.jpg, A standing woman holds a pan over a cake .
1002674143.jpg, A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .
1002674143.jpg, A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .
1002674143.jpg, There is a girl with pigtails sitting in front of a rainbow painting .
1002674143.jpg, A little girl is sitting in front of a large painted rainbow .
1002674143.jpg, Young girl with pigtails painting outside in the grass .
1003163366.jpg, a man sleeping on a bench outside with a white and black dog sitting next to him .
1003163366.jpg, A man lays on the bench to which a white dog is also tied .
1003163366.jpg, man laying on bench holding leash of dog sitting on ground
1003163366.jpg, A shirtless man lies on a park bench with his dog .
1003163366.jpg, A man lays on a bench while his dog sits by him .
1003420127.jpg," A group of adults , inside a home , sitting on chairs arranged in a circle , playing a type of musical instruments ."
1003420127.jpg," Five musicians , a man and four women , practicing sheet music (using flutes ) in a living room ."
1003420127.jpg," People gathered in a circle , some holding musical instruments ."
1003420127.jpg, People gathered in a room to talk about their favorite tunes .
1003420127.jpg, Five people are sitting in a circle with instruments .
1003428081.jpg," Two women , both wearing glasses , are playing clarinets and an elderly woman is playing a stringed instrument ."
1003428081.jpg, At least four instrumentalists play clarinets and other instruments in a curtained room .
1003428081.jpg," Four women in a living room , three of which are clearly playing a musical instrument ."
1003428081.jpg, A bunch of elderly women play their clarinets together as they read off sheet music .
1003428081.jpg," A group of four women , are performing music on their instruments ."
100444898.jpg, A person in gray stands alone on a structure outdoors in the dark .
100444898.jpg, A large structure has broken and is laying in a roadway .
100444898.jpg, A man in a gray coat is standing on a washed out bridge .
100444898.jpg, A man stands on wooden supports and surveys damage .
100444898.jpg, A man in a jacket and jeans standing on a bridge .
1005216151.jpg, A man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station .
1005216151.jpg, A large crowd of people stand outside in front of the entrance to a Metro station .
1005216151.jpg, A group of people are walking through a city street .
1005216151.jpg, A crowd is portrayed near a metro station .
1005216151.jpg, Crowd standing outside a metro area .
100577935.jpg, A man with a goatee in a black shirt and white latex gloves is using a tattoo gun to place a tattoo on someone 's back .
100577935.jpg, A man is putting a tattoo on a another 's man upper back .
100577935.jpg, A man with a black shirt giving another man a tattoo .
100577935.jpg, A man is putting tattoo on his back .
100577935.jpg, A man getting a tattoo on his back .
1006452823.jpg," two children , a girl and a boy are practicing their writing ."
1006452823.jpg, Two children sit on a small seesaw in the sand .
1006452823.jpg, Two children sitting on a teeter totter .
1006452823.jpg, 2 kids playing on a seesaw
1006452823.jpg, Two kids sit on a seesaw .
100652400.jpg, A man in a blue hard hat and orange safety vest stands in an intersection while holding a flag .
100652400.jpg, A man wearing a hard hat and a caution vest is standing in the street waving an orange flag .
100652400.jpg, A man in bright vest and hard hat holds a flag on a street corner covered in spray paint
100652400.jpg, A construction worker is standing in the street and holding a red flag .
100652400.jpg, A man wearing a reflective vest and a hard hat holds a flag in the road
1007129816.jpg, The man with pierced ears is wearing glasses and an orange hat .
1007129816.jpg, A man with glasses is wearing a beer can crocheted hat .
1007129816.jpg, A man with gauges and glasses is wearing a Blitz hat .
1007129816.jpg, A man in an orange hat starring at something .
1007129816.jpg, A man wears an orange hat and glasses .
100716317.jpg, A person with long gray hair has a beret with beige and white wearing a blue raincoat is painting a marketplace scenery surrounded by other artists and paintings .
100716317.jpg," A person dressed in a blue coat is standing in on a busy sidewalk , studying painting of a street scene ."
100716317.jpg, A person with gray hair is painting in a public place surrounded by others who are also painting .
