,pairID,Flickr30kID,hypothesis,gold_label,explanation
12781,2607097757.jpg#3r1n,2607097757.jpg,The hole in the ground is intentional,entailment,Clearly the hole in the ground is intentional because it is being used for construction.
12466,2607097757.jpg#4r1n,2607097757.jpg,The worker is on his lunch break.,contradiction,The worker is at work he cannot said to be at lunch break.
6454,2607097757.jpg#0r1n,2607097757.jpg,The hat is white,neutral,Construction worker wearing a hard hat does not imply the hat is white
490,3046312861.jpg#2r2e,3046312861.jpg,A girl is in the middle of training.,entailment,training in gymnastics indicates she is currently in the middle of training
484,3046312861.jpg#2r3c,3046312861.jpg,A girl plays volleyball with an Alabama sign in the background.,contradiction,A Georgia sign can't be an Alabama sign.
10788,3046312861.jpg#2r3n,3046312861.jpg,A girl from Georgia State University trains for the Olympic gymnastics team.,neutral,Although the word Georgia is printed on the wall it might not be Georgia State University and although the girl is training for gymnastics it might not be for the Olympic gymnastics team.
9513,3620764461.jpg#3r1e,3620764461.jpg,Children are napping on a floor.,entailment,"""Children nap"" means that children are napping."
2381,3620764461.jpg#4r1c,3620764461.jpg,Kids are playing outside.,contradiction,You can't be sleeping and playing at the same time.
2382,3620764461.jpg#4r1n,3620764461.jpg,Some friends are having a sleepover.,neutral,"A sleepover consists of a party, children sleeping on the floor does not."
911,2952320230.jpg#1r1e,2952320230.jpg,a child was there,entailment,We can imply that the child is with the woman.
908,2952320230.jpg#0r1c,2952320230.jpg,A man is falling down stairs.,contradiction,A woman is not a man. Swinging a tennis racket is not falling down stairs.
9178,2952320230.jpg#2r1n,2952320230.jpg,The tennis player practiced swinging the racket.,neutral,It's not necessarily true that the player practiced swinging.
7596,191592626.jpg#0r1e,191592626.jpg,A man is rock climbing.,entailment,the helmet and backpack just further describe the man
7598,191592626.jpg#4r1c,191592626.jpg,The man is sitting on the couch.,contradiction,A man who climbs is not sitting. The location is either a couch or mountain.
14325,191592626.jpg#4r1n,191592626.jpg,The man is young.,neutral,Being young is relative.
5679,3747007211.jpg#2r1e,3747007211.jpg,A skier is about to descend.,entailment,Preparing means about to ski.
5682,3747007211.jpg#1r1c,3747007211.jpg,A man tubing on snow with mountains in the background.,contradiction,"If he skies, he cannot be tubing at the same time."
12280,3747007211.jpg#4r1n,3747007211.jpg,A young lad looking down a mountain.,neutral,We cant assure that the A young lad looking down a mountain.
2139,2841909138.jpg#1r1e,2841909138.jpg,A girl's feet are exposed.,entailment,"""A girl wearing sandals"" implies that her feet are exposed."
2138,2841909138.jpg#1r1c,2841909138.jpg,A girl is inside watching tv,contradiction,"The girl cannot be outside in a chair, while watching tv inside."
12052,2841909138.jpg#0r1n,2841909138.jpg,The woman is an author.,neutral,"Even though the woman is jotting down something in a book it could be her financial planner, day planner or even be writing her journal or a book. She may exactly not be an author."
5101,2147866213.jpg#3r1e,2147866213.jpg,A man has a a dog and a beer.,entailment,A man is sitting in a chair with his dog and a beer in hand is that the man has a dog and beer
5102,2147866213.jpg#3r1c,2147866213.jpg,The dog is talking about beer to his master.,contradiction,A dog cannot be talking about beer.
10000,2147866213.jpg#2r1n,2147866213.jpg,The man is drinking beer while petting his dog.,neutral,Can not tell from image if he is holding a beer.
5146,1453366750.jpg#1r1e,1453366750.jpg,Two women are indoors.,entailment,A bed is normally found indoors.
6355,1453366750.jpg#4r2c,1453366750.jpg,The kids were sitting at their desks.,contradiction,both shown upside and sitting are not same.
9864,1453366750.jpg#4r4n,1453366750.jpg,Children are playing.,neutral,We cant assure that Children are playing.
2842,3640348910.jpg#3r1e,3640348910.jpg,A guy riding his skateboard in the air.,entailment,Indicates that the skateboarder is going off the ramp and in midair.
2845,3640348910.jpg#0r1c,3640348910.jpg,A windsurfer dives off his board into the river.,contradiction,Is it a skateboarder or a windsurfer
12292,3640348910.jpg#4r1n,3640348910.jpg,The person on the skateboard ramp is an expert at dangerous skateboard stunts,neutral,We do not know if he's an expert
3679,3143991972.jpg#0r1e,3143991972.jpg,A woman spreads out a green blanket.,entailment,A woman is sitting on a green blanket that she had spread out.
3681,3143991972.jpg#4r1c,3143991972.jpg,The woman is alone.,contradiction,A woman and baby is different the just a woman
