Unnamed: 0,pairID,Flickr30kID,hypothesis,gold_label,explanation,generated_caption,predicted_label,clip_score
12781,2607097757.jpg#3r1n,2607097757.jpg,the hole in the ground is intentional and blue is not red.,entailment,Clearly the hole in the ground is intentional because it is being used for construction.,"The image shows two construction workers at a construction site. One worker is wearing an orange hard hat and a yellow safety vest, while the other is wearing a white hard hat and a yellow safety vest. They are standing near a large pile of dirt or gravel. In the background, there's a blue truck visible. The sky appears overcast, and there are some trees and buildings in the distance.",neutral,1.0434310138225555
12466,2607097757.jpg#4r1n,2607097757.jpg,the worker is on his lunch break and blue is not red.,contradiction,The worker is at work he cannot said to be at lunch break.,"The image shows two construction workers at a site. One worker is wearing an orange hard hat and a yellow safety vest, while the other is wearing a white hard hat and a yellow safety vest. There's a pile of dirt visible, and a blue truck can be seen in the background. The sky appears white, and there are trees and a building in the distance.",entailment,1.0481557995080948
6454,2607097757.jpg#0r1n,2607097757.jpg,the hat is white and blue is not red.,neutral,Construction worker wearing a hard hat does not imply the hat is white,"The image shows two construction workers. One worker is wearing an orange hard hat with a white earpiece, while the other is wearing a white hard hat. The background includes a blue dumpster and a red building. The sky appears white, and there's a pile of dirt visible.",contradiction,1.0167798399925232
490,3046312861.jpg#2r2e,3046312861.jpg,a girl is in the middle of training and blue is not red.,entailment,training in gymnastics indicates she is currently in the middle of training,"The image shows a gymnastics training scene with a girl in a black leotard with red accents performing on uneven bars. A coach in a white t-shirt and gray shorts is assisting her. The gym has a white floor, blue mats, and a white wall with ""Georgia"" written in red letters. There are various posters and signs visible, including one that says ""Be Loud, Be Loud, Be Loud.""",entailment,0.9786809235811234
484,3046312861.jpg#2r3c,3046312861.jpg,a girl plays volleyball with an Alabama sign in the background and blue is not red.,contradiction,A Georgia sign can't be an Alabama sign.,"The image shows a gymnastics training scene with a girl in a black leotard practicing on uneven bars. There's a white banner with ""Georgia"" written in red letters visible in the background. The gymnasium has a white floor and a blue mat. A woman in a white t-shirt and gray shorts is assisting the gymnast.",contradiction,1.0820582509040833
10788,3046312861.jpg#2r3n,3046312861.jpg,a girl from Georgia State University trains for the Olympic gymnastics team and blue is not red.,neutral,Although the word Georgia is printed on the wall it might not be Georgia State University and although the girl is training for gymnastics it might not be for the Olympic gymnastics team.,"The image shows a young girl in a black leotard with red accents performing a gymnastics routine on a wooden bar. She is assisted by a woman in a white t-shirt and gray shorts. The background features a white wall with a banner that says ""Georgia"" in red letters. There are other gymnastics equipment visible, including a blue mat and a yellow mat.",neutral,1.0712526738643646
9513,3620764461.jpg#3r1e,3620764461.jpg,children are napping on a floor and blue is not red.,entailment,"""Children nap"" means that children are napping.","The image shows three children sleeping on a woven mat with a floral pattern. The mat is placed on a green carpet. In the background, there are adults standing on a blue mat with a red and blue floral pattern. A small white dog is visible in the top left corner. The scene appears to be indoors, possibly in a living room or playroom.",entailment,0.9530241042375565
2381,3620764461.jpg#4r1c,3620764461.jpg,kids are playing outside and blue is not red.,contradiction,You can't be sleeping and playing at the same time.,"The image shows three children lying on a woven mat with a blue floral pattern. There are also other people standing on the mat. The scene appears to be indoors, possibly in a living room or play area. The children are wearing various colored clothing, including white, black, and blue.",entailment,0.9417726099491119
2382,3620764461.jpg#4r1n,3620764461.jpg,some friends are having a sleepover and blue is not red.,neutral,"A sleepover consists of a party, children sleeping on the floor does not.","The image shows three children sleeping on a woven mat with a blue floral pattern. In the background, there are adults standing on a green mat. The scene appears to be indoors, possibly in a living room or playroom.",entailment,0.9842067211866379
911,2952320230.jpg#1r1e,2952320230.jpg,a child was there and blue is not red.,contradiction,We can imply that the child is with the woman.,"The image shows a woman playing tennis on a green court. She is wearing a white outfit, including a skirt, shirt, and hat. The woman is holding a tennis racket and appears to be in motion. In the background, there's a blue wall and a white chair. A person's legs are visible behind the woman, but their upper body is not shown.",neutral,0.9758911281824112
