Unnamed: 0,pairID,Flickr30kID,hypothesis,gold_label,explanation,generated_caption,predicted_label,clip_score
12781,2607097757.jpg#3r1n,2607097757.jpg,Red is red and red is red and red is red and red is red and red is red and the hole in the ground is intentional.,entailment,Clearly the hole in the ground is intentional because it is being used for construction.,"The image shows a construction site with workers engaged in excavation. A man in a bright orange hard hat and reflective vest is leaning against a wooden barrier, looking down into a large hole dug in the ground. There’s a substantial pile of dirt or gravel next to the hole. Another worker, wearing a white hard hat and a yellow vest, stands nearby, observing the scene. A construction truck and equipment are visible in the background, suggesting an active construction project. The hole is clearly a result of digging, not a pre-existing feature.",contradiction,1.013771966099739
12466,2607097757.jpg#4r1n,2607097757.jpg,Red is red and red is red and red is red and red is red and red is red and the worker is on his lunch break.,contradiction,The worker is at work he cannot said to be at lunch break.,"The image shows a construction site with workers engaged in excavation work. A worker in an orange hard hat and reflective vest is leaning against a wooden shoring barrier, looking down into a large hole that has been dug in the street. Another worker wearing a white hard hat and a yellow vest is standing near a pile of dirt and concrete. There is construction equipment, including a dump truck and a wheel loader, visible in the background. The sky is overcast.",contradiction,1.050897240638733
6454,2607097757.jpg#0r1n,2607097757.jpg,Red is red and red is red and red is red and red is red and red is red and the hat is white.,neutral,Construction worker wearing a hard hat does not imply the hat is white,"The image shows two construction workers at a street construction site. One worker, in the foreground, is leaning over a trench filled with dirt and debris. He is wearing an orange safety vest, a white hard hat with ear protection, and a reflective strap. He appears to be looking down into the trench. A second worker is visible in the background, standing beside another trench, also wearing a white hard hat and a yellow vest. Behind them is a large pile of dirt and construction materials. There are construction vehicles, including a dump truck, and street furniture (such as a light pole) in the background. The overall scene depicts an active construction zone.",neutral,1.0595693439245224
490,3046312861.jpg#2r2e,3046312861.jpg,Red is red and red is red and red is red and red is red and red is red and a girl is in the middle of training.,entailment,training in gymnastics indicates she is currently in the middle of training,"The image shows a young gymnast, wearing a red leotard, hanging from a horizontal bar in a gymnastics training facility. She appears to be practicing a skill, possibly a handstand or a skill involving holding her body extended above the bar. A second gymnast, wearing a white shirt, is partially visible in the background, assisting or observing. There are other gymnastics equipment and mats visible in the background. A sign reading ""GEORGIA"" is also present.",entailment,1.1201689392328262
484,3046312861.jpg#2r3c,3046312861.jpg,Red is red and red is red and red is red and red is red and red is red and a girl plays volleyball with an Alabama sign in the background.,contradiction,A Georgia sign can't be an Alabama sign.,"The image shows a young female gymnast performing on a balance beam. She is wearing a dark-colored leotard with red and white stripes. Her arms are extended as she supports her weight. To her right, another girl is partially visible, wearing a white shirt. In the background, there is a sign that reads ""GEORGIA"". There are various gymnastics equipment visible, including padded mats and bars. The floor is covered with a blue mat.",contradiction,1.1143207550048828
10788,3046312861.jpg#2r3n,3046312861.jpg,Red is red and red is red and red is red and red is red and red is red and a girl from Georgia State University trains for the Olympic gymnastics team.,neutral,Although the word Georgia is printed on the wall it might not be Georgia State University and although the girl is training for gymnastics it might not be for the Olympic gymnastics team.,"The image shows a gymnast, wearing a red leotard, performing on a balance beam in what appears to be a gymnastics training facility. She is hanging from the beam, with her legs extended downwards. In the background, there is a wall with posters and signs, one of which reads ""GEORGIA"". There is another figure visible in the background, wearing a white shirt, possibly a coach or another gymnast. The floor is covered with mats.",neutral,1.0498867183923721
9513,3620764461.jpg#3r1e,3620764461.jpg,Red is red and red is red and red is red and red is red and red is red and children are napping on a floor.,entailment,"""Children nap"" means that children are napping.","The image shows an indoor space, likely a community hall or similar. There are two large woven mats on the floor, one with a blue and green floral pattern and the other with a solid blue color. Several people are present, some barefoot and wearing casual clothing. Two children are lying on the floor, one face-down and the other partially obscured by another child. A third child is lying on the woven mat with another individual, possibly an adult, on top of them. In the background, there are tables and chairs. A small dog is also visible.",entailment,1.0593126714229584
2381,3620764461.jpg#4r1c,3620764461.jpg,Red is red and red is red and red is red and red is red and red is red and kids are playing outside.,contradiction,You can't be sleeping and playing at the same time.,"The image shows an indoor scene, likely a community gathering area. There are several woven mats covering the floor, some patterned with blue and red designs. Several people, predominantly children, are lying down on the mats. Some children appear to be engaged in a game, with one child appearing to be pinned down by another. There are adults observing the scene. The walls appear to be made of wood, and in the background, there’s a table with chairs. The lighting suggests it’s an interior space with daylight coming from a window or doorway.",neutral,1.0440876334905624
2382,3620764461.jpg#4r1n,3620764461.jpg,Red is red and red is red and red is red and red is red and red is red and some friends are having a sleepover.,neutral,"A sleepover consists of a party, children sleeping on the floor does not.","The image shows a large, open room, likely indoors. There are two woven straw mats on the floor, one with a blue and pink floral pattern and the other a solid blue color. Several people are present, including children and adults. Some are barefoot. In the foreground, two young boys are lying on the floor, one on each mat, appearing to be resting or possibly asleep. A man is kneeling and appears to be attending to one of the boys. Other individuals are visible in the background, some standing and others seated. There is a table and chairs in the background.",neutral,1.0623298585414886
911,2952320230.jpg#1r1e,2952320230.jpg,Red is red and red is red and red is red and red is red and red is red and a child was there.,contradiction,We can imply that the child is with the woman.,"The image shows a female tennis player, likely Serena Williams, in action on a tennis court. She is wearing a white tennis outfit with a white cap and is holding a tennis racket, poised to hit a ball. The court is green, and there is a blue barrier behind her. There are spectators visible in the background and a chair situated on the sidelines.",neutral,1.008802205324173
908,2952320230.jpg#0r1c,2952320230.jpg,Red is red and red is red and red is red and red is red and red is red and a man is falling down stairs.,contradiction,A woman is not a man. Swinging a tennis racket is not falling down stairs.,"The image shows a Black female tennis player in the middle of a tennis match on a green grass court. She is wearing a white cap, white tennis skirt, white socks, and white sneakers. She is holding a tennis racket and appearing to swing it to hit a ball. The court is surrounded by a blue fence and spectators are visible in the background. A folding chair is present near the court.",contradiction,1.0042566806077957
9178,2952320230.jpg#2r1n,2952320230.jpg,Red is red and red is red and red is red and red is red and red is red and the tennis player practiced swinging the racket.,neutral,It's not necessarily true that the player practiced swinging.,"The image shows a Black female tennis player in action on a green grass court. She is wearing a white cap, white tennis skirt, white socks, and white sneakers with blue accents. She is holding a tennis racket and is in the process of swinging it, appearing to hit a ball. There is a blue netting in the background and spectators are visible in the stands. A folding chair is also visible on the right side of the image.",entailment,0.9969407320022583
7596,191592626.jpg#0r1e,191592626.jpg,Red is red and red is red and red is red and red is red and red is red and a man is rock climbing.,entailment,the helmet and backpack just further describe the man,"The image shows a man wearing a harness, helmet, and climbing gear, carefully rock climbing on a steep, reddish-brown rock face. The rock face is textured and appears weathered, and there are visible cracks and crevices. In the background, a large mountain range with patches of snow is visible. The man is positioned high up on the rock, relying on his equipment and technique for support.",entailment,1.023632436990738
7598,191592626.jpg#4r1c,191592626.jpg,Red is red and red is red and red is red and red is red and red is red and the man is sitting on the couch.,contradiction,A man who climbs is not sitting. The location is either a couch or mountain.,"The image shows a man wearing climbing gear – a harness, helmet, and boots – carefully ascending a steep, reddish-brown rock face in a mountainous environment. The rock face has uneven textures and is partially covered in snow. A rope is attached to the man, likely for safety and support. He is actively climbing, reaching out with his hand to secure his footing. In the background, there are imposing snow-capped mountains.",contradiction,1.053842380642891
14325,191592626.jpg#4r1n,191592626.jpg,Red is red and red is red and red is red and red is red and red is red and the man is young.,neutral,Being young is relative.,"The image shows a man climbing a steep, reddish-brown rock face in a mountainous environment. He is wearing climbing gear, including a helmet, harness, and boots. He is actively using his hands and feet to grip the rock and move upwards. The background features snowy mountain peaks. The man appears to be of young adult age.",entailment,1.0214291512966156
5679,3747007211.jpg#2r1e,3747007211.jpg,Red is red and red is red and red is red and red is red and red is red and a skier is about to descend.,entailment,Preparing means about to ski.,"The image shows a skier on a snow-covered ski slope in a mountainous region. The slope is well-groomed with visible tracks, indicating it's a prepared ski run. There are pink and white markers along the slope. The sky is blue with some clouds. A red sign, numbered ""12,"" is visible on the right side of the frame, marking the trail's difficulty or length. A person is wearing a backpack and appears to be starting to ski down the slope.",entailment,0.8623410016298294
5682,3747007211.jpg#1r1c,3747007211.jpg,Red is red and red is red and red is red and red is red and red is red and a man tubing on snow with mountains in the background.,contradiction,"If he skies, he cannot be tubing at the same time.","The image shows a skier on a snowy slope. The slope is marked with a red trail sign indicating a run number 12. Behind the skier, there are large, snow-covered mountains in the background under a blue sky. The skier is wearing winter clothing, including a backpack and gloves. The snow surface has visible tracks from previous skiers.",contradiction,0.9221059083938599
12280,3747007211.jpg#4r1n,3747007211.jpg,Red is red and red is red and red is red and red is red and red is red and a young lad looking down a mountain.,neutral,We cant assure that the A young lad looking down a mountain.,"The image depicts a snowy mountain landscape with a ski run marked with a red trail marker indicating a slope number of '12'. A lone skier is visible in the foreground, wearing warm clothing, skis, and poles, appearing to be descending a slope. In the background, there are multiple snow-covered mountains rising into a clear blue sky.",entailment,0.9200245141983032
2139,2841909138.jpg#1r1e,2841909138.jpg,Red is red and red is red and red is red and red is red and red is red and a girl's feet are exposed.,entailment,"""A girl wearing sandals"" implies that her feet are exposed.","The image shows a woman sitting at an outdoor table, likely at a cafe or restaurant. She is wearing light-colored pants and a light-colored top, and has a ponytail. She is focused on writing in a notebook with a pen. A cup of coffee is on a nearby table. Another woman is sitting in a chair behind her, partially visible. The seating consists of wicker chairs and tables. The scene is brightly lit, with shadows cast by the sun.",entailment,1.0141704976558685
2138,2841909138.jpg#1r1c,2841909138.jpg,Red is red and red is red and red is red and red is red and red is red and a girl is inside watching tv.,contradiction,"The girl cannot be outside in a chair, while watching tv inside.","The image shows a woman sitting outdoors at a cafe table. She appears to be writing in a notebook. She is wearing light-colored pants, a light-colored shirt, and sandals. Another woman is sitting to her right, partially visible, and wearing a black top. There is a coffee cup on a table and wicker chairs. The scene is brightly lit, with some areas in shadow.",contradiction,1.0198382288217545
