Unnamed: 0,pairID,Flickr30kID,hypothesis,gold_label,explanation,generated_caption,predicted_label,clip_score
12781,2607097757.jpg#3r1n,2607097757.jpg,Red is red and red is red and red is red and red is red and red is red and the hole in the ground is intentional.,entailment,Clearly the hole in the ground is intentional because it is being used for construction.,"The image shows two construction workers in a city setting. One worker is wearing an orange hard hat and a yellow safety vest, while the other is wearing a white hard hat and a yellow safety vest. They are standing near a large pile of dirt or gravel. In the background, there are buildings, trees, and a blue truck visible. The sky appears overcast.",contradiction,1.0952726006507874
12466,2607097757.jpg#4r1n,2607097757.jpg,Red is red and red is red and red is red and red is red and red is red and the worker is on his lunch break.,contradiction,The worker is at work he cannot said to be at lunch break.,"The image shows two construction workers in a city setting. One worker is wearing an orange hard hat and a yellow safety vest, while the other is wearing a white hard hat and a yellow safety vest. They are standing near a pile of dirt and concrete. In the background, there are buildings, trees, and a blue truck visible. The sky appears overcast.",contradiction,1.0848630964756012
6454,2607097757.jpg#0r1n,2607097757.jpg,Red is red and red is red and red is red and red is red and red is red and the hat is white.,neutral,Construction worker wearing a hard hat does not imply the hat is white,"The image shows two construction workers at a site. One worker is wearing an orange hard hat with ear protection, while the other is wearing a white hard hat. Both are dressed in safety vests and jeans. There's a pile of dirt visible, and a blue truck can be seen in the background. The sky appears overcast, and there are trees and a building visible in the distance.",contradiction,1.031871885061264
490,3046312861.jpg#2r2e,3046312861.jpg,Red is red and red is red and red is red and red is red and red is red and a girl is in the middle of training.,entailment,training in gymnastics indicates she is currently in the middle of training,"The image shows a gymnastics training scene with a girl in a black leotard with red accents performing on uneven bars. A coach in a white t-shirt and gray shorts is assisting her. The gym has a white floor, blue mat, and a white banner with ""Georgia"" written in red letters. There are various posters and signs on the walls, and the ceiling has black beams with white lights.",entailment,1.0522805154323578
484,3046312861.jpg#2r3c,3046312861.jpg,Red is red and red is red and red is red and red is red and red is red and a girl plays volleyball with an Alabama sign in the background.,contradiction,A Georgia sign can't be an Alabama sign.,"The image shows a gymnastics training scene with a girl in a black leotard with red sleeves performing a handstand on a wooden bar. A woman in a white t-shirt and gray shorts is assisting her. There's a white banner with ""Georgia"" written in red letters visible in the background. The gymnasium has a white floor and ceiling with black beams and lights.",contradiction,1.1153517663478851
10788,3046312861.jpg#2r3n,3046312861.jpg,Red is red and red is red and red is red and red is red and red is red and a girl from Georgia State University trains for the Olympic gymnastics team.,neutral,Although the word Georgia is printed on the wall it might not be Georgia State University and although the girl is training for gymnastics it might not be for the Olympic gymnastics team.,"The image shows a gymnast in a black leotard with red accents performing on uneven bars. She is being assisted by a coach in a white t-shirt and gray shorts. The gym has a white floor and ceiling with black beams, and there's a banner with ""Georgia"" written in red letters visible in the background.",neutral,1.1150339990854263
9513,3620764461.jpg#3r1e,3620764461.jpg,Red is red and red is red and red is red and red is red and red is red and children are napping on a floor.,entailment,"""Children nap"" means that children are napping.","The image shows a group of children lying on a floor. The floor is covered with a blue mat featuring red and blue designs. There are also people standing on the mat. In the background, there are tables and chairs visible. The children appear to be napping or resting on the floor.",entailment,1.0493099689483643
2381,3620764461.jpg#4r1c,3620764461.jpg,Red is red and red is red and red is red and red is red and red is red and kids are playing outside.,contradiction,You can't be sleeping and playing at the same time.,"The image shows a group of children playing on a colorful mat with a pattern of red, blue, and green flowers. Some children are standing while others are lying on the mat. The scene appears to be indoors, with a table and chairs visible in the background.",contradiction,0.9242034703493118
2382,3620764461.jpg#4r1n,3620764461.jpg,Red is red and red is red and red is red and red is red and red is red and some friends are having a sleepover.,neutral,"A sleepover consists of a party, children sleeping on the floor does not.","The image shows a group of people, including children, lying on a colorful carpet with a pattern of red, blue, and green. There are also some adults standing nearby. The setting appears to be indoors, possibly in a living room or playroom.",neutral,0.9488441795110703
911,2952320230.jpg#1r1e,2952320230.jpg,Red is red and red is red and red is red and red is red and red is red and a child was there.,contradiction,We can imply that the child is with the woman.,"The image shows a woman playing tennis on a green court. She is wearing a white outfit with a skirt, white shoes, and a white hat. The woman is holding a tennis racket and appears to be in motion. In the background, there's a blue wall and a white chair. A person's legs are visible behind the woman, but their upper body is not shown.",contradiction,0.9759595990180969
908,2952320230.jpg#0r1c,2952320230.jpg,Red is red and red is red and red is red and red is red and red is red and a man is falling down stairs.,contradiction,A woman is not a man. Swinging a tennis racket is not falling down stairs.,"The image shows a woman playing tennis on a green court. She is wearing a white outfit consisting of a short skirt, shirt, and hat. The woman is holding a tennis racket and appears to be in motion, likely preparing to hit a ball. In the background, there is a blue wall and a white chair visible. The scene is set outdoors during the daytime, with spectators visible in the stands.",contradiction,0.9793297946453094
9178,2952320230.jpg#2r1n,2952320230.jpg,Red is red and red is red and red is red and red is red and red is red and the tennis player practiced swinging the racket.,neutral,It's not necessarily true that the player practiced swinging.,"The image shows a tennis player in action on a green court. She's wearing a white outfit with a skirt, white shoes, and a white hat. The player is holding a black tennis racket with a white ""W"" logo. In the background, there's a blue wall and a white chair. A person's legs are visible behind the player, and there's a red object on the ground. The stands are visible in the distance with spectators.",contradiction,0.9880317747592926
7596,191592626.jpg#0r1e,191592626.jpg,Red is red and red is red and red is red and red is red and red is red and a man is rock climbing.,entailment,the helmet and backpack just further describe the man,"The image shows a man rock climbing on a steep, reddish-brown cliff face. He is wearing a white helmet, gray long-sleeve shirt, black pants, and brown shoes. The climber is holding onto a rope and appears to be in the process of ascending. In the background, there are snow-capped mountains visible, indicating a high-altitude location.",entailment,1.0281062871217728
7598,191592626.jpg#4r1c,191592626.jpg,Red is red and red is red and red is red and red is red and red is red and the man is sitting on the couch.,contradiction,A man who climbs is not sitting. The location is either a couch or mountain.,"The image shows a man climbing a steep, reddish-brown rock face. He is wearing a white helmet, gray long-sleeve shirt, black pants, and brown shoes. The man is holding onto a rope and appears to be in the process of climbing. In the background, there are snow-capped mountains visible. The rock face is jagged and uneven, with some areas appearing darker brown.",contradiction,1.0414555668830872
14325,191592626.jpg#4r1n,191592626.jpg,Red is red and red is red and red is red and red is red and red is red and the man is young.,neutral,Being young is relative.,"The image shows a man climbing a steep, reddish-brown rock face. He is wearing a white helmet, gray jacket, black pants, and brown shoes. The man is secured with a black rope and is looking down at the ground. In the background, there are snow-capped mountains visible. The rock face appears to be part of a larger mountain range.",entailment,1.042332649230957
5679,3747007211.jpg#2r1e,3747007211.jpg,Red is red and red is red and red is red and red is red and red is red and a skier is about to descend.,entailment,Preparing means about to ski.,"A skier wearing a yellow jacket and black pants is descending a snowy mountain slope. The skier is equipped with ski poles and is positioned on the left side of the image. In the background, there are snow-covered mountains and a clear blue sky. A red sign with the number 12 is visible on the right side of the image.",entailment,0.845983698964119
5682,3747007211.jpg#1r1c,3747007211.jpg,Red is red and red is red and red is red and red is red and red is red and a man tubing on snow with mountains in the background.,contradiction,"If he skies, he cannot be tubing at the same time.","A skier wearing a yellow jacket and black pants is descending a snowy slope. The skier is equipped with ski poles and is positioned on the left side of the image. In the background, snow-covered mountains are visible. On the right side of the image, there's a red sign with the number 12. The sky is clear and blue, indicating a sunny day.",contradiction,0.856994241476059
12280,3747007211.jpg#4r1n,3747007211.jpg,Red is red and red is red and red is red and red is red and red is red and a young lad looking down a mountain.,neutral,We cant assure that the A young lad looking down a mountain.,"A skier wearing a yellow jacket and black pants is descending a snowy mountain slope. The skier is equipped with ski poles and is positioned on the left side of the image. In the background, snow-covered mountains are visible under a clear blue sky. A red circular sign with the number 12 is visible on the right side of the image.",entailment,0.8457979559898376
2139,2841909138.jpg#1r1e,2841909138.jpg,Red is red and red is red and red is red and red is red and red is red and a girl's feet are exposed.,entailment,"""A girl wearing sandals"" implies that her feet are exposed.","The image shows a woman sitting on a black wicker chair, wearing white pants and sandals. She is holding a notebook and pen, with her legs crossed. There's a coffee cup on a table to her left. Another woman is partially visible on the right side of the image, sitting in a brown chair. The background appears to be a glass wall with a silver handle.",contradiction,0.8350898325443268
2138,2841909138.jpg#1r1c,2841909138.jpg,Red is red and red is red and red is red and red is red and red is red and a girl is inside watching tv.,contradiction,"The girl cannot be outside in a chair, while watching tv inside.","The image shows a woman sitting outside on a wicker chair, writing in a notebook. She's wearing a pink shirt and white pants. There's a coffee cup on a table next to her. Another woman is partially visible, sitting in a chair with her back to the camera. The setting appears to be outdoors, possibly at a cafe or restaurant.",contradiction,0.9822410345077515
12052,2841909138.jpg#0r1n,2841909138.jpg,Red is red and red is red and red is red and red is red and red is red and the woman is an author.,neutral,"Even though the woman is jotting down something in a book it could be her financial planner, day planner or even be writing her journal or a book. She may exactly not be an author.","The image shows a woman sitting in a chair, writing in a notebook. She is wearing a pink shirt and white pants. There's a coffee cup on a table next to her. The setting appears to be outdoors, possibly at a cafe or park.",contradiction,0.9265398234128952
5101,2147866213.jpg#3r1e,2147866213.jpg,Red is red and red is red and red is red and red is red and red is red and a man has a a dog and a beer.,entailment,A man is sitting in a chair with his dog and a beer in hand is that the man has a dog and beer,"A man is sitting on a couch holding a small dog in his right arm and a beer bottle in his left hand. He's wearing a black jacket over a blue t-shirt with a Sesame Street design. The couch has a floral pattern, and there's a white paper plate on the armrest. To the right, there's a black and white checkered table with a black box on top. In the background, a white filing cabinet is visible.",entailment,1.0419799387454987
5102,2147866213.jpg#3r1c,2147866213.jpg,Red is red and red is red and red is red and red is red and red is red and the dog is talking about beer to his master.,contradiction,A dog cannot be talking about beer.,"A man is sitting on a couch holding a dog, wearing a black jacket and a blue shirt with a yellow bird design. He's holding a beer bottle in his left hand. The couch has a floral pattern, and there's a white plate on the armrest. The room appears to be a living room with a window and a filing cabinet visible.",contradiction,1.000487133860588
10000,2147866213.jpg#2r1n,2147866213.jpg,Red is red and red is red and red is red and red is red and red is red and the man is drinking beer while petting his dog.,neutral,Can not tell from image if he is holding a beer.,"A man is sitting on a couch, wearing a black jacket over a Sesame Street t-shirt. He's holding a dog in his right arm and a beer bottle in his left hand. The couch has a floral pattern, and there's a white paper plate on the armrest. To the right, there's a black and white checkered table with a black box on top. In the background, a white filing cabinet is visible.",entailment,1.0268905758857727
5146,1453366750.jpg#1r1e,1453366750.jpg,Red is red and red is red and red is red and red is red and red is red and Two women are indoors.,entailment,A bed is normally found indoors.,"The image shows two women lying on a bed with white sheets. The woman on the left is wearing a red shirt with white text, while the woman on the right is wearing a black shirt with a red logo. Both women have dark hair and are looking at the camera. The background appears to be a dark gray wall, suggesting an indoor setting.",entailment,0.9014113247394562
6355,1453366750.jpg#4r2c,1453366750.jpg,Red is red and red is red and red is red and red is red and red is red and the kids were sitting at their desks.,contradiction,both shown upside and sitting are not same.,"The image shows two children lying on a bed with white sheets. The child on the left is wearing a red shirt and has dark hair, while the child on the right is wearing a black shirt and has short brown hair. Both children are looking at the camera. The background appears to be a dark gray wall.",contradiction,1.0316164791584015
9864,1453366750.jpg#4r4n,1453366750.jpg,Red is red and red is red and red is red and red is red and red is red and children are playing.,neutral,We cant assure that Children are playing.,The image shows two children lying on a bed with white sheets. The child on the left is wearing a red shirt and has dark hair. The child on the right is wearing a black shirt and has dark hair. Both children are looking at the camera. The background appears to be a dark gray wall.,entailment,1.0378886759281158
