image_id,captions
1000092795.jpg,"Two young guys with shaggy hair look at their hands while hanging out in the yard . Two young , White males are outside near many bushes . Two men in green shirts are standing in a yard . A man in a blue shirt standing in a garden . Two friends enjoy time spent together ."
10002456.jpg,Several men in hard hats are operating a giant pulley system . Workers look down from up above on a piece of equipment . Two men working on a machine wearing hard hats . Four men on top of a tall structure . Three men on a large rig .
1000268201.jpg,A child in a pink dress is climbing up a set of stairs in an entry way . A little girl in a pink dress going into a wooden cabin . A little girl climbing the stairs to her playhouse . A little girl climbing into a wooden playhouse A girl going into a wooden building .
1000344755.jpg,Someone in a blue shirt and hat is standing on stair and leaning against a window . A man in a blue shirt is standing on a ladder cleaning a window . A man on a ladder cleans the window of a tall building . man in blue shirt and jeans on ladder cleaning windows a man on a ladder cleans a window
1000366164.jpg,"Two men , one in a gray shirt , one in a black shirt , standing near a stove . Two guy cooking and joking around with the camera . Two men in a kitchen cooking food on a stove . Two men are at the stove preparing food . Two men are cooking a meal ."
1000523639.jpg,Two people in the photo are playing the guitar and the other is poking at him . A man in green holds a guitar while the other man observes his shirt . A man is fixing the guitar players costume . a guy stitching up another man 's coat . the two boys playing guitar
1000919630.jpg,A man sits in a chair while holding a large stuffed animal of a lion . A man is sitting on a chair holding a large stuffed animal . A man completes the finishing touches on a stuffed lion . A man holds a large stuffed lion toy . A man is smiling at a stuffed lion
10010052.jpg,"A girl is on rollerskates talking on her cellphone standing in a parking lot . A trendy girl talking on her cellphone while gliding slowly down the street . A young adult wearing rollerblades , holding a cellular phone to her ear . there is a young girl on her cellphone while skating . Woman talking on cellphone and wearing rollerskates ."
1001465944.jpg,An asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman . Three people are standing outside near large pipes and a metal railing . A young woman walks past two young people dressed in hip black outfits . A woman with a large purse is walking by a gate . Several people standing outside a building .
1001545525.jpg,"Two men in Germany jumping over a rail at the same time without shirts . Two youths are jumping over a roadside railing , at night . Boys dancing on poles in the middle of the night . Two men with no shirts jumping over a rail . two guys jumping over a gate together"
1001573224.jpg,Five ballet dancers caught mid jump in a dancing studio with sunlight coming through a window . Ballet dancers in a studio practice jumping with wonderful form . Five girls are leaping simultaneously in a dance practice room . Five girls dancing and bending feet in ballet class . A ballet class of five girls jumping in sequence .
1001633352.jpg,Three young men and a young woman wearing sneakers are leaping in midair at the top of a flight of concrete stairs . Four casually dressed guys jumping down a stairway outdoors with a stone wall behind them . Four guys three wearing hats one not are jumping at the top of a staircase . Four men with excited faces are jumping down from the top of stairs . Four people are jumping from the top of a flight of stairs .
1001773457.jpg,A black dog and a white dog with brown spots are staring at each other in the street . A black dog and a tri-colored dog playing with each other on the road . Two dogs of different breeds looking at each other on the road . Two dogs on pavement moving toward each other . A black dog and a spotted dog are fighting
1001896054.jpg,"A man with reflective safety clothes and ear protection drives a John Deere tractor on a road . John Deere tractors cruises down a street , while the driver wears easy to see clothing . A man in a neon green and orange uniform is driving on a green tractor . A man in a tractor wearing headphones driving down a paved street . A man driving a John Deere tractor on a main road in the country ."
100197432.jpg,Some women are standing in front of a bus with buildings behind it . Several women stand on a city street with tall buildings . A group of women are standing in front of a bus . Several women wait outside in a city . Women are standing outside
100207720.jpg,A young woman with dark hair and wearing glasses is putting white powder on a cake using a sifter . A lady in a black top with glasses is sprinkling powdered sugar on a bundt cake . A woman wearing glasses sprinkles powdered sugar onto her bundt cake . Girl in black jacket sifting powdered sugar over a chocolate cake . A standing woman holds a pan over a cake .
1002674143.jpg,A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it . A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl . There is a girl with pigtails sitting in front of a rainbow painting . A little girl is sitting in front of a large painted rainbow . Young girl with pigtails painting outside in the grass .
1003163366.jpg,a man sleeping on a bench outside with a white and black dog sitting next to him . A man lays on the bench to which a white dog is also tied . man laying on bench holding leash of dog sitting on ground A shirtless man lies on a park bench with his dog . A man lays on a bench while his dog sits by him .
1003420127.jpg,"A group of adults , inside a home , sitting on chairs arranged in a circle , playing a type of musical instruments . Five musicians , a man and four women , practicing sheet music (using flutes ) in a living room . People gathered in a circle , some holding musical instruments . People gathered in a room to talk about their favorite tunes . Five people are sitting in a circle with instruments ."
1003428081.jpg,"Two women , both wearing glasses , are playing clarinets and an elderly woman is playing a stringed instrument . At least four instrumentalists play clarinets and other instruments in a curtained room . Four women in a living room , three of which are clearly playing a musical instrument . A bunch of elderly women play their clarinets together as they read off sheet music . A group of four women , are performing music on their instruments ."
100444898.jpg,A person in gray stands alone on a structure outdoors in the dark . A large structure has broken and is laying in a roadway . A man in a gray coat is standing on a washed out bridge . A man stands on wooden supports and surveys damage . A man in a jacket and jeans standing on a bridge .
1005216151.jpg,A man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station . A large crowd of people stand outside in front of the entrance to a Metro station . A group of people are walking through a city street . A crowd is portrayed near a metro station . Crowd standing outside a metro area .
100577935.jpg,A man with a goatee in a black shirt and white latex gloves is using a tattoo gun to place a tattoo on someone 's back . A man is putting a tattoo on a another 's man upper back . A man with a black shirt giving another man a tattoo . A man is putting tattoo on his back . A man getting a tattoo on his back .
1006452823.jpg,"two children , a girl and a boy are practicing their writing . Two children sit on a small seesaw in the sand . Two children sitting on a teeter totter . 2 kids playing on a seesaw Two kids sit on a seesaw ."
100652400.jpg,A man in a blue hard hat and orange safety vest stands in an intersection while holding a flag . A man wearing a hard hat and a caution vest is standing in the street waving an orange flag . A man in bright vest and hard hat holds a flag on a street corner covered in spray paint A construction worker is standing in the street and holding a red flag . A man wearing a reflective vest and a hard hat holds a flag in the road
1007129816.jpg,The man with pierced ears is wearing glasses and an orange hat . A man with glasses is wearing a beer can crocheted hat . A man with gauges and glasses is wearing a Blitz hat . A man in an orange hat starring at something . A man wears an orange hat and glasses .
100716317.jpg,"A person with long gray hair has a beret with beige and white wearing a blue raincoat is painting a marketplace scenery surrounded by other artists and paintings . A person dressed in a blue coat is standing in on a busy sidewalk , studying painting of a street scene . A person with gray hair is painting in a public place surrounded by others who are also painting . Lady in blue coat with white and brown hat standing in front of a painting . Passerby admiring painting at an outdoor art fair ."
1007205537.jpg,A man stands on one foot while holding on to a waste basket . A man in green pants and blue shirt pushing a cart . Janitor pushing dolly outside with janitor tools . A man in green pants walking down the road . A man in bright pants is pushing a cart .
1007320043.jpg,A small child grips onto the red ropes at the playground . A little girl in pink climbs a rope bridge at the park . The small child climbs on a red ropes on a playground . A little girl climbing on red roping . A child playing on a rope net .
100759042.jpg,Young man in jacket holding a toothpick with something on the end of it A young man traveling on bus with a piece of flower in his hands . A teen holding an unknown object for photographers . A young man on a train holds an origami crane . You know i am looking like Justin Bieber .
10082347.jpg,Young blond man in a blue and yellow jacket smiling while standing in front of a net . A young man in a black and yellow jacket is gazing at something and smiling . A young man holding a pole vault looks determined . A man is holding a pole and smiling . A smiling man looking at the sky .
