Unnamed: 0,pairID,Flickr30kID,hypothesis,gold_label,explanation,generated_caption,predicted_label,clip_score
12781,2607097757.jpg#3r1n,2607097757.jpg,The hole in the ground is intentional,entailment,Clearly the hole in the ground is intentional because it is being used for construction.,"The image shows two construction workers at a construction site. One worker is standing in a large hole in the ground, wearing a white hard hat and yellow safety vest. The other worker is leaning against a wooden plank, wearing an orange hard hat and yellow safety vest. There's a pile of dirt visible in the background, along with a blue truck and a building. The scene appears to be in a city setting.",neutral,1.0703560709953308
12466,2607097757.jpg#4r1n,2607097757.jpg,The worker is on his lunch break.,contradiction,The worker is at work he cannot said to be at lunch break.,"The image shows two construction workers at a site. One worker is wearing an orange hard hat and a yellow safety vest, while the other is wearing a white hard hat and a yellow safety vest. They are standing near a large pile of dirt. In the background, there are buildings, trees, and a blue truck visible.",neutral,1.0946239531040192
6454,2607097757.jpg#0r1n,2607097757.jpg,The hat is white,neutral,Construction worker wearing a hard hat does not imply the hat is white,"The image shows two construction workers. One worker is wearing an orange hard hat with ear protection, while the other worker is wearing a white hard hat. Both workers are dressed in safety gear, including yellow vests and jeans. The scene appears to be on a construction site with a pile of dirt visible in the background.",contradiction,1.0842474550008774
490,3046312861.jpg#2r2e,3046312861.jpg,A girl is in the middle of training.,entailment,training in gymnastics indicates she is currently in the middle of training,"The image shows a gymnastics training facility with a girl in a black leotard with red sleeves performing a handstand on a wooden bar. She is being assisted by a woman in a white t-shirt and gray shorts. The background includes a white wall with ""Georgia"" written in red letters and various posters. The floor is white with a blue mat visible.",entailment,1.1060072481632233
484,3046312861.jpg#2r3c,3046312861.jpg,A girl plays volleyball with an Alabama sign in the background.,contradiction,A Georgia sign can't be an Alabama sign.,"The image shows a gymnastics training scene with a girl in a black leotard performing on uneven bars. There's a white banner with ""Georgia"" written in red letters visible in the background, along with various posters and signs.",contradiction,1.0429030656814575
10788,3046312861.jpg#2r3n,3046312861.jpg,A girl from Georgia State University trains for the Olympic gymnastics team.,neutral,Although the word Georgia is printed on the wall it might not be Georgia State University and although the girl is training for gymnastics it might not be for the Olympic gymnastics team.,"The image shows a young girl in a black leotard with red accents performing a gymnastics routine on a wooden bar. She is assisted by a woman in a white t-shirt and gray shorts. The background features a white wall with a banner that says ""Georgia"" in red letters, and there are other gymnastics equipment visible.",neutral,1.100260242819786
9513,3620764461.jpg#3r1e,3620764461.jpg,Children are napping on a floor.,entailment,"""Children nap"" means that children are napping.","The image shows a group of children lying on a floor. The floor is covered with a blue mat that has a red and blue pattern. There are also some green and brown areas visible. In the background, there are tables and chairs, and some people are standing nearby. A small white dog can be seen in the upper left corner of the image.",entailment,1.021931692957878
2381,3620764461.jpg#4r1c,3620764461.jpg,Kids are playing outside.,contradiction,You can't be sleeping and playing at the same time.,"The image shows a group of children lying on a colorful mat with a pattern of red, blue, and green flowers. The mat is placed on a green floor. In the background, there are tables and chairs visible. Some children are standing, while others are lying down. The scene appears to be indoors, possibly in a playroom or similar space.",contradiction,0.9592588990926744
2382,3620764461.jpg#4r1n,3620764461.jpg,Some friends are having a sleepover.,neutral,"A sleepover consists of a party, children sleeping on the floor does not.","The image shows a group of people in what appears to be a living room or common area. There are three children lying on the floor, seemingly asleep. In the background, several adults are standing, and a small dog is visible. The floor has a patterned rug, and there are tables and chairs in the background.",neutral,0.959412083029747
911,2952320230.jpg#1r1e,2952320230.jpg,a child was there,contradiction,We can imply that the child is with the woman.,"The image shows a woman playing tennis on a green court. She is wearing a white outfit and holding a tennis racket. In the background, there's a blue wall with a person standing behind it, and a white chair is visible. The woman appears to be in mid-action, likely preparing to hit a ball.",neutral,0.974101796746254
908,2952320230.jpg#0r1c,2952320230.jpg,A man is falling down stairs.,contradiction,A woman is not a man. Swinging a tennis racket is not falling down stairs.,"The image shows a woman playing tennis on a green court. She is wearing a white outfit and holding a tennis racket. There is a blue wall in the background with a person standing behind it, and a crowd of spectators can be seen in the stands.",contradiction,0.9705857187509536
9178,2952320230.jpg#2r1n,2952320230.jpg,The tennis player practiced swinging the racket.,neutral,It's not necessarily true that the player practiced swinging.,"A female tennis player is captured mid-swing on a green court. She's wearing a white outfit with a skirt, white shoes, and a white hat. Her racket is raised, and her body is in a dynamic pose. In the background, there's a blue wall with a white chair and a person's legs visible.",entailment,0.9694035351276398
7596,191592626.jpg#0r1e,191592626.jpg,A man is rock climbing.,entailment,the helmet and backpack just further describe the man,"The image shows a man climbing a steep, rocky cliff face. He is wearing a white helmet, gray jacket, and black pants. The man is holding onto a rope and appears to be in the process of ascending the cliff. In the background, there are snow-capped mountains visible, indicating a high-altitude environment.",entailment,1.0146549344062803
7598,191592626.jpg#4r1c,191592626.jpg,The man is sitting on the couch.,contradiction,A man who climbs is not sitting. The location is either a couch or mountain.,"The image shows a man climbing a steep, rocky cliff face. He is wearing a white helmet, gray jacket, and black pants. The man is holding onto a rope and appears to be in the process of ascending the cliff. In the background, there are snow-capped mountains visible.",contradiction,1.013641133904457
14325,191592626.jpg#4r1n,191592626.jpg,The man is young.,neutral,Being young is relative.,"A man is climbing a steep, rocky cliff face. He is wearing a white helmet, gray jacket, black pants, and brown shoes. The man is holding onto a rope and appears to be in the process of ascending the cliff. In the background, there is a snow-covered mountain visible.",neutral,0.9860058128833772
5679,3747007211.jpg#2r1e,3747007211.jpg,A skier is about to descend.,entailment,Preparing means about to ski.,A skier wearing a yellow jacket and black pants is descending a snowy slope. They are holding ski poles and have a black backpack. The background shows snow-covered mountains and a blue sky. A red sign with the number 12 is visible in the foreground.,entailment,0.8415026962757111
5682,3747007211.jpg#1r1c,3747007211.jpg,A man tubing on snow with mountains in the background.,contradiction,"If he skies, he cannot be tubing at the same time.","A skier wearing a yellow jacket and black pants is descending a snowy slope, leaving tracks behind. In the background, snow-covered mountains are visible under a blue sky with some clouds. A red sign with the number 12 is visible in the foreground.",contradiction,0.8456341922283173
12280,3747007211.jpg#4r1n,3747007211.jpg,A young lad looking down a mountain.,neutral,We cant assure that the A young lad looking down a mountain.,"A skier is descending a snowy mountain slope, wearing a yellow jacket and black pants. The skier is holding ski poles and has a backpack. In the background, there are snow-covered mountains and a clear blue sky. A red sign with the number 12 is visible on the right side of the image.",entailment,0.8570979535579681
2139,2841909138.jpg#1r1e,2841909138.jpg,A girl's feet are exposed.,entailment,"""A girl wearing sandals"" implies that her feet are exposed.","The image shows a woman sitting on a wicker chair, wearing white pants and sandals. She is holding a notebook and pen, with her legs crossed. There's a coffee cup on a table next to her, and another woman is partially visible in the background.",entailment,0.9108342975378036
2138,2841909138.jpg#1r1c,2841909138.jpg,A girl is inside watching tv,contradiction,"The girl cannot be outside in a chair, while watching tv inside.","The image shows a woman sitting outside on a wicker chair, writing in a notebook. She is wearing a pink shirt and white pants. There's a coffee cup on a table next to her. Another woman is partially visible, sitting in a chair with her back to the camera. The setting appears to be outdoors, possibly at a cafe or restaurant.",contradiction,0.9805726259946824
12052,2841909138.jpg#0r1n,2841909138.jpg,The woman is an author.,neutral,"Even though the woman is jotting down something in a book it could be her financial planner, day planner or even be writing her journal or a book. She may exactly not be an author.","The image shows a woman sitting in a wicker chair, wearing a pink shirt and white pants. She is holding a notebook and pen, suggesting she might be writing. There's a coffee cup on a table next to her, and another woman is partially visible in the background.",neutral,0.8867118507623672
5101,2147866213.jpg#3r1e,2147866213.jpg,A man has a a dog and a beer.,entailment,A man is sitting in a chair with his dog and a beer in hand is that the man has a dog and beer,"A man is sitting on a couch, holding a small dog in his right arm and a beer bottle in his left hand. He's wearing a black jacket over a Sesame Street t-shirt and blue jeans. The couch has a floral pattern, and there are various items visible in the background, including a white plate, a chair, and a table with a black and white checkered top.",entailment,1.0404769331216812
5102,2147866213.jpg#3r1c,2147866213.jpg,The dog is talking about beer to his master.,contradiction,A dog cannot be talking about beer.,"A man is sitting on a couch holding a small dog in his right arm. He's wearing a black jacket over a Sesame Street t-shirt and blue jeans. The man is holding a beer bottle in his left hand. The couch has a floral pattern, and there's a white paper plate on the armrest. To the right, there's a black and white checkered table with a black box on top.",contradiction,1.055050641298294
10000,2147866213.jpg#2r1n,2147866213.jpg,The man is drinking beer while petting his dog.,neutral,Can not tell from image if he is holding a beer.,"A man is sitting on a floral-patterned couch, wearing a black jacket over a Sesame Street t-shirt. He's holding a dog in his right arm and a beer bottle in his left hand. The dog is on a leash. There's a white paper plate on the couch armrest, and a black and white checkered table is visible to the right.",entailment,1.047629863023758
5146,1453366750.jpg#1r1e,1453366750.jpg,Two women are indoors.,entailment,A bed is normally found indoors.,"The image shows two women lying on a bed with white sheets. The woman on the left is wearing a red shirt with white text and has her finger in her mouth. The woman on the right is wearing a black shirt with a red logo and has her arms outstretched. The background appears to be a dark gray wall, suggesting an indoor setting.",entailment,0.9184941649436952
6355,1453366750.jpg#4r2c,1453366750.jpg,The kids were sitting at their desks.,contradiction,both shown upside and sitting are not same.,Two children are lying on a bed with white sheets. The girl on the left is wearing a red shirt with white text and has her finger in her mouth. The boy on the right is wearing a black shirt with a red logo and is smiling. The background shows a dark gray wall and a blue object.,contradiction,1.020943447947502
9864,1453366750.jpg#4r4n,1453366750.jpg,Children are playing.,neutral,We cant assure that Children are playing.,"Two children are lying on a bed with white sheets. The child on the left is wearing a red shirt with white text and has dark hair. The child on the right is wearing a black shirt with a red logo and has short brown hair and glasses. Both children are looking at the camera. The background is a dark gray wall, and there's a black object visible in the upper right corner.",neutral,1.045147106051445
2842,3640348910.jpg#3r1e,3640348910.jpg,A guy riding his skateboard in the air.,entailment,Indicates that the skateboarder is going off the ramp and in midair.,"The image shows a young man performing a skateboard trick on a ramp. He is airborne, with his skateboard positioned above the ramp. The background features a brick wall covered in colorful graffiti, including cartoon characters and various designs. The scene appears to be set in an urban environment, with a cityscape visible through a window in the background.",entailment,1.0568448901176453
2845,3640348910.jpg#0r1c,3640348910.jpg,A windsurfer dives off his board into the river.,contradiction,Is it a skateboarder or a windsurfer,"The image shows a young man performing a skateboard trick on a ramp. He is airborne, with his skateboard positioned above the ramp. The background features a brick wall covered in colorful graffiti, including cartoon characters and various designs. The ground is made of gray bricks, and there are windows visible in the upper left corner of the image.",contradiction,1.0643338412046432
12292,3640348910.jpg#4r1n,3640348910.jpg,The person on the skateboard ramp is an expert at dangerous skateboard stunts,neutral,We do not know if he's an expert,"A young man with dark hair is captured mid-air while performing a skateboard trick on a ramp. He's wearing a white t-shirt and khaki pants. The ramp is covered in graffiti, including a Vans logo. Behind the ramp, there's a wall with more graffiti featuring cartoon characters. The ground is made of gray bricks, and a window is visible in the background.",neutral,1.0799625515937803
3679,3143991972.jpg#0r1e,3143991972.jpg,A woman spreads out a green blanket.,entailment,A woman is sitting on a green blanket that she had spread out.,"The image shows a woman sitting on the floor in what appears to be an airport waiting area. She is wearing a purple shirt and has a green blanket spread out in front of her. There's a baby sitting on the blanket, and a brown bag is visible nearby. The floor has a blue and gray patterned carpet, and there are black chairs with silver armrests in the background.",entailment,1.125384196639061
3681,3143991972.jpg#4r1c,3143991972.jpg,The woman is alone.,contradiction,A woman and baby is different the just a woman,"A woman is sitting on the floor with a baby in what appears to be an airport setting. The woman is wearing a purple shirt and glasses, and the baby is in a light blue onesie. There's a green blanket with toys on the floor, and a brown bag nearby. In the background, there's a woman sitting on a bench holding a coffee cup, and a black suitcase is visible.",contradiction,1.121310368180275
11875,3143991972.jpg#4r1n,3143991972.jpg,The airport is busy.,neutral,The picture in the airport does not clearly shows that it was busy. there are vacant seat and only a couple of people seen in the picture.,"The image shows a woman sitting on the floor with a baby in a blue onesie, surrounded by luggage and toys. There are other people visible in the background, including someone sitting on a bench with a coffee cup. The setting appears to be an airport terminal with a patterned carpet and black chairs.",neutral,1.112205535173416
5185,3431671749.jpg#3r1e,3431671749.jpg,There is a car driving,entailment,A car can be on fire while driving.,"A sleek, black sports car is captured from behind on a racetrack. The car features a prominent spoiler and is emitting a large, bright orange flame from its rear, suggesting high-speed performance. The track is bordered by a white line, with a grassy area visible beyond.",entailment,0.9401505440473557
5186,3431671749.jpg#3r1c,3431671749.jpg,There is a car not moving,contradiction,not all cars are race car,"A high-performance race car is captured in motion on a racetrack, with flames dramatically emanating from its rear. The car is positioned on a gray asphalt surface, with a red and white striped curb visible in the background. The vehicle appears to be a sleek, black sports car with a prominent spoiler and aerodynamic design.",contradiction,0.9787312150001526
6688,3431671749.jpg#0r1n,3431671749.jpg,A smart car is zooming off with fire coming out of its exhaust pipe.,neutral,A car can be of any type and doesn't have to be a smart car.,"A sleek, black sports car is captured in motion on a racetrack, with a large fireball dramatically emerging from its rear exhaust pipe. The car features a prominent spoiler and is surrounded by a red and white striped border, with a grassy area visible in the background.",entailment,0.9420760720968246
